occurtime,power
2021-01-17_05:35:00,3.42
2021-01-17_05:40:00,3.44
2021-01-17_05:45:00,3.44
2021-01-17_05:50:00,3.44
2021-01-17_05:55:00,3.44
2021-01-17_06:00:00,3.4
2021-01-17_06:05:00,3.41
2021-01-17_06:10:00,3.44
2021-01-17_06:15:00,3.44
2021-01-17_06:20:00,3.44
2021-01-17_06:25:00,3.44
2021-01-17_06:30:00,3.44
2021-01-17_06:35:00,3.44
2021-01-17_06:40:00,3.44
2021-01-17_06:45:00,3.52
2021-01-17_06:50:00,3.44
2021-01-17_06:55:00,3.68
2021-01-17_07:00:00,3.44
2021-01-17_07:05:00,3.44
2021-01-17_07:10:00,3.44
2021-01-17_07:15:00,3.44
2021-01-17_07:20:00,3.44
2021-01-17_07:25:00,3.44
2021-01-17_07:30:00,3.44
2021-01-17_07:35:00,3.44
2021-01-17_07:40:00,3.33
2021-01-17_07:45:00,3.42
2021-01-17_07:50:00,3.44
2021-01-17_07:55:00,3.44
2021-01-17_08:00:00,3.44
2021-01-17_08:05:00,3.44
2021-01-17_08:10:00,3.44
2021-01-17_08:15:00,3.42
2021-01-17_08:20:00,3.44
2021-01-17_08:25:00,3.44
2021-01-17_08:30:00,3.44
2021-01-17_08:35:00,3.44
2021-01-17_08:40:00,3.44
2021-01-17_08:45:00,3.44
2021-01-17_08:50:00,3.44
2021-01-17_08:55:00,3.44
2021-01-17_09:00:00,3.44
2021-01-17_09:05:00,3.44
2021-01-17_09:10:00,3.52
2021-01-17_09:15:00,3.44
2021-01-17_09:20:00,3.44
2021-01-17_09:25:00,3.44
2021-01-17_09:30:00,3.44
2021-01-17_09:35:00,3.44
2021-01-17_09:40:00,3.52
2021-01-17_09:45:00,3.36
2021-01-17_09:50:00,3.44
2021-01-17_09:55:00,3.44
2021-01-17_10:00:00,3.44
2021-01-17_10:05:00,3.44
2021-01-17_10:10:00,3.52
2021-01-17_10:15:00,3.44
2021-01-17_10:20:00,3.44
2021-01-17_10:25:00,3.44
2021-01-17_10:30:00,3.44
2021-01-17_10:35:00,3.44
2021-01-17_10:45:00,3.2
2021-01-17_10:50:00,3.44
2021-01-17_10:55:00,3.44
2021-01-17_11:00:00,3.44
2021-01-17_11:05:00,3.44
2021-01-17_11:10:00,3.44
2021-01-17_11:15:00,3.44
2021-01-17_11:20:00,3.52
2021-01-17_11:25:00,3.44
2021-01-17_11:30:00,3.36
2021-01-17_11:35:00,3.44
2021-01-17_11:40:00,3.68
2021-01-17_11:45:00,3.44
2021-01-17_11:50:00,3.44
2021-01-17_11:55:00,3.52
2021-01-17_12:00:00,3.44
2021-01-17_12:05:00,3.44
2021-01-17_12:10:00,3.44
2021-01-17_12:15:00,3.44
2021-01-17_12:20:00,3.44
2021-01-17_12:25:00,3.4
2021-01-17_12:30:00,3.44
2021-01-17_12:35:00,3.52
